"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date","Tax_res"
"Blackstonia perfoliata","Blackstonia","","perfoliata",NA,NA,"","","kew-2676920",TRUE,"1.1","Accepted","Gentianaceae","Blackstonia","","perfoliata","","","(L.) Huds.","kew-2676920","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Borago officinalis","Borago","","officinalis",NA,NA,"","","kew-2679695",TRUE,"1.1","Accepted","Boraginaceae","Borago","","officinalis","","","L.","kew-2679695","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Bryonia dioica","Bryonia","","dioica",NA,NA,"","","kew-2684380",TRUE,"1.1","Synonym","Cucurbitaceae","Bryonia","","cretica","subsp.","dioica","(Jacq.) Tutin","kew-2684370","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Campanula erinus","Campanula","","erinus",NA,NA,"","","kew-364567",TRUE,"1.1","Accepted","Campanulaceae","Campanula","","erinus","","","L.","kew-364567","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Campanula lusitanica","Campanula","","lusitanica",NA,NA,"","","kew-365153",TRUE,"1.1","Accepted","Campanulaceae","Campanula","","lusitanica","","","L.","kew-365153","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Campanula rapunculus","Campanula","","rapunculus",NA,NA,"","","kew-365813",TRUE,"1.1","Accepted","Campanulaceae","Campanula","","rapunculus","","","L.","kew-365813","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Centaurium erythraea","Centaurium","","erythraea",NA,NA,"","","kew-2708639",TRUE,"1.1","Accepted","Gentianaceae","Centaurium","","erythraea","","","Rafn","kew-2708639","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Cerinthe gymnandra","Cerinthe","","gymnandra",NA,NA,"","","kew-2712559",TRUE,"1.1","Synonym","Boraginaceae","Cerinthe","","major","","","L.","kew-2712572","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Cerinthe major","Cerinthe","","major",NA,NA,"","","kew-2712572",TRUE,"1.1","Accepted","Boraginaceae","Cerinthe","","major","","","L.","kew-2712572","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Cistus albidus","Cistus","","albidus",NA,NA,"","","kew-2723264",TRUE,"1.1","Accepted","Cistaceae","Cistus","","albidus","","","L.","kew-2723264","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Cistus crispus","Cistus","","crispus",NA,NA,"","","kew-2723349",TRUE,"1.1","Accepted","Cistaceae","Cistus","","crispus","","","L.","kew-2723349","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Cistus ladanifer","Cistus","","ladanifer",NA,NA,"","","kew-2723459",TRUE,"1.1","Accepted","Cistaceae","Cistus","","ladanifer","","","L.","kew-2723459","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Cistus libanotis","Cistus","","libanotis",NA,NA,"","","kew-2723492",TRUE,"1.1","Accepted","Cistaceae","Cistus","","libanotis","","","L.","kew-2723492","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Cistus monspeliensis","Cistus","","monspeliensis",NA,NA,"","","kew-2723524",TRUE,"1.1","Accepted","Cistaceae","Cistus","","monspeliensis","","","L.","kew-2723524","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Cistus salviifolius","Cistus","","salviifolius",NA,NA,"","","kew-2723633",TRUE,"1.1","Accepted","Cistaceae","Cistus","","salviifolius","","","L.","kew-2723633","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Clematis flammula","Clematis","","flammula",NA,NA,"","","kew-2725991",TRUE,"1.1","Accepted","Ranunculaceae","Clematis","","flammula","","","L.","kew-2725991","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Convolvulus althaeoides","Convolvulus","","althaeoides",NA,NA,"","","tro-8501085",TRUE,"1.1","Accepted","Convolvulaceae","Convolvulus","","althaeoides","","","L.","tro-8501085","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Convolvulus arvensis","Convolvulus","","arvensis",NA,NA,"","","tro-8500005",TRUE,"1.1","Accepted","Convolvulaceae","Convolvulus","","arvensis","","","L.","tro-8500005","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Coronilla juncea","Coronilla","","juncea",NA,NA,"","","ild-5146",TRUE,"1.1","Accepted","Leguminosae","Coronilla","","juncea","","","L.","ild-5146","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Crataegus monogyna","Crataegus","","monogyna",NA,NA,"","","rjp-49",TRUE,"1.1","Accepted","Rosaceae","Crataegus","","monogyna","","","Jacq.","rjp-49","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Cynoglossum creticum","Cynoglossum","","creticum",NA,NA,"","","kew-2751925",TRUE,"1.1","Accepted","Boraginaceae","Cynoglossum","","creticum","","","Mill.","kew-2751925","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Cytinus hypocistis","Cytinus","","hypocistis",NA,NA,"","","kew-2754461",TRUE,"1.1","Accepted","Cytinaceae","Cytinus","","hypocistis","","","(L.) L.","kew-2754461","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Cytisus grandiflorus","Cytisus","","grandiflorus",NA,NA,"","","ild-31569",TRUE,"1.1","Accepted","Leguminosae","Cytisus","","grandiflorus","","","(Brot.) DC.","ild-31569","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Daphne gnidium","Daphne","","gnidium",NA,NA,"","","kew-2756985",TRUE,"1.1","Accepted","Thymelaeaceae","Daphne","","gnidium","","","L.","kew-2756985","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Dipcadi serotinum","Dipcadi","","serotinum",NA,NA,"","","kew-304368",TRUE,"1.1","Accepted","Asparagaceae","Dipcadi","","serotinum","","","(L.) Medik.","kew-304368","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Diplotaxis erucoides","Diplotaxis","","erucoides",NA,NA,"","","kew-2771262",TRUE,"1.1","Accepted","Brassicaceae","Diplotaxis","","erucoides","","","(L.) DC.","kew-2771262","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Diplotaxis virgata","Diplotaxis","","virgata",NA,NA,"","","kew-2771367",TRUE,"1.1","Accepted","Brassicaceae","Diplotaxis","","virgata","","","(Cav.) DC.","kew-2771367","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Dittrichia viscosa","Dittrichia","","viscosa",NA,NA,"","","gcc-16305",TRUE,"1.1","Accepted","Compositae","Dittrichia","","viscosa","","","(L.) Greuter","gcc-16305","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Drimia maritima","Drimia","","maritima",NA,NA,"","","kew-305015",TRUE,"1.1","Accepted","Asparagaceae","Drimia","","maritima","","","(L.) Stearn","kew-305015","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Echium gaditanum","Echium","","gaditanum",NA,NA,"","","kew-2784115",TRUE,"1.1","Accepted","Boraginaceae","Echium","","gaditanum","","","Boiss.","kew-2784115","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Echium plantagineum","Echium","","plantagineum",NA,NA,"","","kew-2784282",TRUE,"1.1","Accepted","Boraginaceae","Echium","","plantagineum","","","L.","kew-2784282","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Erica arborea","Erica","","arborea",NA,NA,"","","kew-2792636",TRUE,"1.1","Accepted","Ericaceae","Erica","","arborea","","","L.","kew-2792636","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Erica umbellata","Erica","","umbellata",NA,NA,"","","kew-2794666",TRUE,"1.1","Accepted","Ericaceae","Erica","","umbellata","","","L.","kew-2794666","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Erophaca baetica","Erophaca","","baetica",NA,NA,"","","ild-37443",TRUE,"1.1","Accepted","Leguminosae","Erophaca","","baetica","","","(L.) Boiss.","ild-37443","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Fedia cornucopiae","Fedia","","cornucopiae",NA,NA,"","","kew-2807911",TRUE,"1.1","Accepted","Caprifoliaceae","Fedia","","cornucopiae","","","(L.) Gaertn.","kew-2807911","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Galactites tomentosa","Galactites","","tomentosa",NA,NA,"","","gcc-10499",TRUE,"1.1","Accepted","Compositae","Galactites","","tomentosa","","","Moench","gcc-10499","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Genista hirsuta","Genista","","hirsuta",NA,NA,"","","ild-33514",TRUE,"1.1","Accepted","Leguminosae","Genista","","hirsuta","","","M.Vahl","ild-33514","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Genista triacanthos","Genista","","triacanthos",NA,NA,"","","ild-8441",TRUE,"1.1","Accepted","Leguminosae","Genista","","triacanthos","","","Brot.","ild-8441","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Halimium calycinum","Halimium","","calycinum",NA,NA,"","","kew-2838221",TRUE,"1.1","Accepted","Cistaceae","Halimium","","calycinum","","","(L.) K.Koch","kew-2838221","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Halimium halimifolium","Halimium","","halimifolium",NA,NA,"","","kew-2838244",TRUE,"1.1","Accepted","Cistaceae","Halimium","","halimifolium","","","(L.) Willk.","kew-2838244","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Heliotropium europaeum","Heliotropium","","europaeum",NA,NA,"","","kew-2844004",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","europaeum","","","L.","kew-2844004","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Hypericum perforatum","Hypericum","","perforatum",NA,NA,"","","kew-2858676",TRUE,"1.1","Accepted","Hypericaceae","Hypericum","","perforatum","","","L.","kew-2858676","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Lavandula stoechas","Lavandula","","stoechas",NA,NA,"","","kew-109094",TRUE,"1.1","Accepted","Lamiaceae","Lavandula","","stoechas","","","L.","kew-109094","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Leucojum autumnale","Leucojum","","autumnale",NA,NA,"","","kew-280489",TRUE,"1.1","Synonym","Amaryllidaceae","Acis","","autumnalis","","","(L.) Sweet","kew-293461","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Leucojum trichophyllum","Leucojum","","trichophyllum",NA,NA,"","","kew-280572",TRUE,"1.1","Synonym","Amaryllidaceae","Acis","","trichophylla","","","G.Don","kew-309235","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Linaria viscosa","Linaria","","viscosa",NA,NA,"","","kew-2499675",TRUE,"1.1","Accepted","Plantaginaceae","Linaria","","viscosa","","","(L.) Dum.Cours.","kew-2499675","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Lonicera implexa","Lonicera","","implexa",NA,NA,"","","kew-2339739",TRUE,"1.1","Accepted","Caprifoliaceae","Lonicera","","implexa","","","Aiton","kew-2339739","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Lupinus angustifolius","Lupinus","","angustifolius",NA,NA,"","","ild-8552",TRUE,"1.1","Accepted","Leguminosae","Lupinus","","angustifolius","","","L.","ild-8552","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Lupinus luteus","Lupinus","","luteus",NA,NA,"","","ild-8560",TRUE,"1.1","Accepted","Leguminosae","Lupinus","","luteus","","","L.","ild-8560","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Misopates orontium","Misopates","","orontium",NA,NA,"","","kew-2506761",TRUE,"1.1","Accepted","Plantaginaceae","Misopates","","orontium","","","(L.) Raf.","kew-2506761","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Myrtus communis","Myrtus","","communis",NA,NA,"","","kew-132410",TRUE,"1.1","Accepted","Myrtaceae","Myrtus","","communis","","","L.","kew-132410","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Ononis baetica","Ononis","","baetica",NA,NA,"","","ild-8957",TRUE,"1.1","Synonym","Leguminosae","Ononis","","subspicata","","","Lag.","ild-7997","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Ononis pinnata","Ononis","","pinnata",NA,NA,"","","ild-7982",TRUE,"1.1","Accepted","Leguminosae","Ononis","","pinnata","","","Brot.","ild-7982","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Ononis viscosa","Ononis","","viscosa",NA,NA,"","","ild-8004",TRUE,"1.1","Accepted","Leguminosae","Ononis","","viscosa","","","L.","ild-8004","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Ornithogalum baeticum","Ornithogalum","","baeticum",NA,NA,"","","kew-283250",TRUE,"1.1","Accepted","Asparagaceae","Ornithogalum","","baeticum","","","Boiss.","kew-283250","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Ornithopus sativus","Ornithopus","","sativus",NA,NA,"","","ild-5208",TRUE,"1.1","Accepted","Leguminosae","Ornithopus","","sativus","","","Brot.","ild-5208","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Papaver rhoeas","Papaver","","rhoeas",NA,NA,"","","kew-2561554",TRUE,"1.1","Accepted","Papaveraceae","Papaver","","rhoeas","","","L.","kew-2561554","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Parentucellia viscosa","Parentucellia","","viscosa",NA,NA,"","","tro-29201195",TRUE,"1.1","Accepted","Orobanchaceae","Parentucellia","","viscosa","","","(L.) Caruel","tro-29201195","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Phlomis purpurea","Phlomis","","purpurea",NA,NA,"","","kew-152390",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","purpurea","","","L.","kew-152390","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Ranunculus muricatus","Ranunculus","","muricatus",NA,NA,"","","kew-2526257",TRUE,"1.1","Accepted","Ranunculaceae","Ranunculus","","muricatus","","","L.","kew-2526257","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Ranunculus paludosus","Ranunculus","","paludosus",NA,NA,"","","kew-2526294",TRUE,"1.1","Accepted","Ranunculaceae","Ranunculus","","paludosus","","","Poir.","kew-2526294","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Raphanus raphanistrum","Raphanus","","raphanistrum",NA,NA,"","","kew-2422367",TRUE,"1.1","Accepted","Brassicaceae","Raphanus","","raphanistrum","","","L.","kew-2422367","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Retama sphaerocarpa","Retama","","sphaerocarpa",NA,NA,"","","ild-8469",TRUE,"1.1","Accepted","Leguminosae","Retama","","sphaerocarpa","","","(L.) Boiss.","ild-8469","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Rhamnus lycioides","Rhamnus","","lycioides",NA,NA,"","","kew-2523132",TRUE,"1.1","Accepted","Rhamnaceae","Rhamnus","","lycioides","","","L.","kew-2523132","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Rosmarinus officinalis","Rosmarinus","","officinalis",NA,NA,"","","kew-179873",TRUE,"1.1","Accepted","Lamiaceae","Rosmarinus","","officinalis","","","L.","kew-179873","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Rubus ulmifolius","Rubus","","ulmifolius",NA,NA,"","","rjp-12",TRUE,"1.1","Accepted","Rosaceae","Rubus","","ulmifolius","","","Schott","rjp-12","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Salvia verbenaca","Salvia","","verbenaca",NA,NA,"","","kew-184123",TRUE,"1.1","Accepted","Lamiaceae","Salvia","","verbenaca","","","L.","kew-184123","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Scilla autumnalis","Scilla","","autumnalis",NA,NA,"","","kew-287018",TRUE,"1.1","Synonym","Asparagaceae","Prospero","","autumnale","","","(L.) Speta","kew-285270","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Scolymus hispanicus","Scolymus","","hispanicus",NA,NA,"","","gcc-121678",TRUE,"1.1","Accepted","Compositae","Scolymus","","hispanicus","","","L.","gcc-121678","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Scorpiurus sulcatus","Scorpiurus","","sulcatus",NA,NA,"","","ild-5214",TRUE,"1.1","Synonym","Leguminosae","Scorpiurus","","muricatus","","","L.","ild-5211","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Scrophularia frutescens","Scrophularia","","frutescens",NA,NA,"","","kew-2586053",TRUE,"1.1","Accepted","Scrophulariaceae","Scrophularia","","frutescens","","","L.","kew-2586053","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Serapias parviflora","Serapias","","parviflora",NA,NA,"","","kew-190707",TRUE,"1.1","Accepted","Orchidaceae","Serapias","","parviflora","","","Parl.","kew-190707","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Silene colorata","Silene","","colorata",NA,NA,"","","kew-2485538",TRUE,"1.1","Accepted","Caryophyllaceae","Silene","","colorata","","","Poir.","kew-2485538","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Smilax aspera","Smilax","","aspera",NA,NA,"","","kew-288512",TRUE,"1.1","Accepted","Smilacaceae","Smilax","","aspera","","","L.","kew-288512","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Solanum nigrum","Solanum","","nigrum",NA,NA,"","","tro-29600125",TRUE,"1.1","Synonym","Solanaceae","Solanum","","americanum","","","Mill.","tro-29600095","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Stachys ocymastrum","Stachys","","ocymastrum",NA,NA,"","","kew-195382",TRUE,"1.1","Accepted","Lamiaceae","Stachys","","ocymastrum","","","(L.) Briq.","kew-195382","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Stauracanthus genistoides","Stauracanthus","","genistoides",NA,NA,"","","tro-13060969",TRUE,"1.1","Accepted","Leguminosae","Stauracanthus","","genistoides","","","(Brot.) G. Sampaio","tro-13060969","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Tamarix gallica","Tamarix","","gallica",NA,NA,"","","kew-2520053",TRUE,"1.1","Accepted","Tamaricaceae","Tamarix","","gallica","","","L.","kew-2520053","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Teucrium capitatum","Teucrium","","capitatum",NA,NA,"","","kew-202749",TRUE,"1.1","Accepted","Lamiaceae","Teucrium","","capitatum","","","L.","kew-202749","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Teucrium fruticans","Teucrium","","fruticans",NA,NA,"","","kew-202931",TRUE,"1.1","Accepted","Lamiaceae","Teucrium","","fruticans","","","L.","kew-202931","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Thymus mastichina","Thymus","","mastichina",NA,NA,"","","kew-205077",TRUE,"1.1","Accepted","Lamiaceae","Thymus","","mastichina","","","(L.) L.","kew-205077","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Tuberaria guttata","Tuberaria","","guttata",NA,NA,"","","kew-2430836",TRUE,"1.1","Accepted","Cistaceae","Tuberaria","","guttata","","","(L.) Fourr.","kew-2430836","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Ulex eriocladus","Ulex","","eriocladus",NA,NA,"","","ild-10148",TRUE,"1.1","Synonym","Leguminosae","Ulex","","parviflorus","subsp.","eriocladus","(C.Vicioso) D.A.Webb","ild-9299","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Verbena officinalis","Verbena","","officinalis",NA,NA,"","","kew-212527",TRUE,"1.1","Accepted","Verbenaceae","Verbena","","officinalis","","","L.","kew-212527","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Vicia benghalensis","Vicia","","benghalensis",NA,NA,"","","ild-7803",TRUE,"1.1","Accepted","Leguminosae","Vicia","","benghalensis","","","L.","ild-7803","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Vicia faba","Vicia","","faba",NA,NA,"","","ild-7811",TRUE,"1.1","Accepted","Leguminosae","Vicia","","faba","","","L.","ild-7811","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Vicia lutea","Vicia","","lutea",NA,NA,"","","ild-7826",TRUE,"1.1","Accepted","Leguminosae","Vicia","","lutea","","","L.","ild-7826","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Vicia sativa","Vicia","","sativa",NA,NA,"","","ild-7851",TRUE,"1.1","Accepted","Leguminosae","Vicia","","sativa","","","L.","ild-7851","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
